,Rates
AED,4.160292
AFN,117.017579
ALL,120.351565
AMD,555.507109
ANG,2.033347
AOA,637.811294
ARS,116.242702
AUD,1.562248
AWG,2.038748
AZN,1.946941
BAM,1.952559
BBD,2.278024
BDT,96.793017
BGN,1.953108
BHD,0.427044
BIF,2250.309641
BMD,1.132638
BND,1.527888
BOB,7.778697
BRL,6.460224
BSD,1.12823
BTC,2.4257914e-05
BTN,84.320578
BWP,13.226592
BYN,2.843686
BYR,22199.695321
BZD,2.27413
CAD,1.449657
CDF,2267.540196
CHF,1.037745
CLF,0.034865
CLP,962.040053
CNY,7.213997
COP,4573.443048
CRC,724.279012
CUC,1.132638
CUP,30.014894
CVE,110.078159
CZK,24.940301
DJF,200.847072
DKK,7.436275
DOP,64.173475
DZD,157.474651
EGP,17.799853
ERN,16.989651
ETB,55.837582
EUR,1.0
FJD,2.399719
FKP,0.854438
GBP,0.840192
GEL,3.513357
GGP,0.854438
GHS,6.910071
GIP,0.854438
GMD,59.458105
GNF,10648.190355
GTQ,8.703827
GYD,236.028335
HKD,8.832591
HNL,27.671498
HRK,7.521392
HTG,113.724989
HUF,370.171986
IDR,16139.121866
ILS,3.533377
IMP,0.854438
INR,84.531119
IQD,1646.637768
IRR,47853.934619
ISK,147.152556
JEP,0.854438
JMD,173.791454
JOD,0.803092
JPY,130.348443
KES,128.158123
KGS,96.037241
KHR,4594.104996
KMF,491.84781
KPW,1019.373677
KRW,1345.663831
KWD,0.342747
KYD,0.940246
KZT,491.679323
LAK,12604.573323
LBP,1705.87231
LKR,228.748551
LRD,164.062703
LSL,18.019785
LTL,3.344384
LVL,0.685121
LYD,5.184905
MAD,10.452758
MDL,20.025805
MGA,4485.82381
MKD,61.512764
MMK,2005.966169
MNT,3237.513694
MOP,9.060002
MRO,404.351399
MUR,49.451332
MVR,17.499496
MWK,921.083325
MXN,23.333351
MYR,4.724795
MZN,72.296035
NAD,18.0201
NGN,466.805427
NIO,39.945315
NOK,9.968796
NPR,134.92014
NZD,1.657677
OMR,0.436061
PAB,1.128185
PEN,4.468992
PGK,3.961486
PHP,57.817178
PKR,201.472713
PLN,4.596186
PYG,7672.18243
QAR,4.123913
RON,4.950189
RSD,117.573394
RUB,83.950755
RWF,1170.170632
SAR,4.25204
SBD,9.17864
SCR,15.184138
SDG,495.52406
SEK,10.237899
SGD,1.531972
SHP,1.560095
SLL,12838.446452
SOS,663.725602
SRD,22.436444
STD,23443.309802
SVC,9.87168
SYP,2845.743586
SZL,17.860252
THB,37.816524
TJS,12.736968
TMT,3.975558
TND,3.259165
TOP,2.57686
TRY,14.627976
TTD,7.666693
TWD,31.327051
TZS,2610.729221
UAH,30.724342
UGX,3993.703652
USD,1.132638
UYU,50.185931
UZS,12196.306987
VEF,242192131950.08792
VND,25824.135373
VUV,128.274204
WST,2.945051
XAF,654.877244
XAG,0.049978
XAU,0.00063
XCD,3.06101
XDR,0.806071
XOF,654.871471
XPF,119.6184
YER,283.482056
ZAR,18.079154
ZMK,10195.097091
ZMW,18.76789
ZWL,364.708818
